0          -5.650265e-08 2.616522e-08 -1.388462e-09 3.917799e-09   1.526251  0.2325128
0.1000683  -5.659512e-08 2.56949e-08 -1.403039e-09 5.30872e-09   1.526251  0.2325128
0.2000774  -5.689594e-08 2.517753e-08 -1.443977e-09 4.647077e-09   1.526252  0.2325129
0.3000217  -5.666033e-08 2.589463e-08 -1.417331e-09 4.052442e-08   1.526252   0.232513
0.4000483  -5.359347e-08 2.357472e-08 -6.850319e-10 6.801757e-08   1.526252  0.2325129
0.5000447  -5.513086e-08 2.235981e-08 6.889178e-10 6.922455e-08   1.526252  0.2325128
0.6000191  -5.84821e-08 3.055261e-08 -2.615192e-11 1.604362e-07   1.526253  0.2325127
0.7000547  -5.250708e-08 2.012631e-08 -3.168787e-09 9.352688e-08   1.526253  0.2325126
0.8000179  -5.746082e-08 1.524052e-08 -2.184111e-09 6.463476e-08   1.526253  0.2325121
0.9000238  -6.014794e-08 2.076878e-08 -1.409081e-09 6.541417e-08   1.526252  0.2325122
1.000023   -4.735496e-08 2.094555e-08 -2.135637e-08 3.693891e-07   1.526252  0.2325117
1.100038   -2.522335e-08 1.657267e-08 2.824156e-09 3.337629e-07   1.526252  0.2325118
1.200013   -1.299924e-08 1.442649e-08 -2.424635e-10 4.35634e-07   1.526251   0.232512
1.300003   -2.878438e-08 1.676475e-09 -1.717033e-08 4.189209e-07   1.526252   0.232512
1.400072   -4.587037e-08 -6.126425e-10 -6.106568e-09 3.652913e-07   1.526251  0.2325117
1.500021   -5.681382e-08 9.352919e-09 -1.026719e-08 2.333223e-07    1.52625  0.2325118
1.600012   -7.449163e-08 -1.204085e-08 -6.573144e-09 3.576635e-07    1.52625  0.2325119
1.700052   -8.961763e-08 -4.446094e-08 1.255942e-08 4.076701e-07    1.52625  0.2325122
1.80002    -1.324655e-07 -1.163115e-07 8.225975e-08 8.845774e-07   1.526248  0.2325124
1.900043   -2.475906e-07 -2.000986e-07 1.418941e-07 1.49314e-06   1.526247  0.2325124
2.000098   -4.198205e-07 -3.32833e-07 2.087798e-07 2.198144e-06   1.526244  0.2325122
2.100006   -6.558196e-07 -4.815793e-07 2.651617e-07 2.981186e-06   1.526241  0.2325126
2.20003    -1.399699e-07 -2.990109e-07 1.365179e-07 7.625566e-07   1.526245  0.2325123
2.300117   -2.083748e-07 -5.200774e-07 1.513529e-07 1.638493e-06   1.526243  0.2325121
2.400125   -1.940927e-07 -5.269818e-07 1.872817e-07 1.112012e-06   1.526243   0.232512
2.500067   -3.332239e-07 -3.98698e-07 2.549286e-07 7.442192e-07   1.526244  0.2325116
2.600015   -3.4889e-07 -3.994084e-07 2.921214e-07 4.563439e-07   1.526241  0.2325117
2.70002    -3.669861e-07 -4.161512e-07 2.881282e-07 1.990659e-07   1.526241  0.2325116
2.800155   -3.919595e-07 -4.793402e-07 2.886163e-07 3.628297e-07   1.526239  0.2325118
2.900053   -5.282875e-07 -6.05597e-07 3.791364e-07 8.851486e-07   1.526237  0.2325112
3.000189   -5.742262e-07 -6.834121e-07 4.367012e-07 9.289889e-07   1.526236  0.2325111
3.100051   -6.398113e-07 -7.402176e-07 4.796318e-07 9.813413e-07   1.526231  0.2325111
3.200013   -6.118846e-07 -9.076398e-07 5.041513e-07 1.145061e-06   1.526226  0.2325109
3.300103   -6.814041e-07 -7.568314e-07 5.575689e-07 7.014348e-07   1.526228  0.2325114
3.400135   -6.962704e-07 -7.211931e-07 5.918064e-07 9.487649e-07   1.526229  0.2325109
3.500095   -7.614818e-07 -7.825072e-07 6.239801e-07 8.254417e-07   1.526227  0.2325106
3.600014   -8.513214e-07 -7.05734e-07 6.724379e-07 1.170959e-06   1.526223  0.2325106
3.700006   -1.112436e-06 -8.238793e-07 7.268947e-07 1.791268e-06   1.526224  0.2325106
3.800071   -1.071865e-06 -8.299098e-07 6.783918e-07 1.170366e-06   1.526222  0.2325106
3.900043   -1.132455e-06 -7.848071e-07 6.871375e-07 1.129666e-06   1.526222  0.2325105
4.00002    -1.202652e-06 -8.186998e-07 7.570028e-07 9.53538e-07   1.526216  0.2325102
4.10004    -1.295391e-06 -9.190139e-07 8.538342e-07 1.029593e-06   1.526215    0.23251
4.200095   -1.390676e-06 -7.611953e-07 9.588084e-07 1.459588e-06   1.526213  0.2325097
4.300011   -1.543622e-06 -7.164692e-07 9.42859e-07 1.482248e-06   1.526208  0.2325096
4.400002   -1.59367e-06 -6.165767e-07 1.006761e-06 1.50028e-06   1.526207  0.2325093
4.500135   -1.696696e-06 -3.712797e-07 1.016898e-06 1.822674e-06   1.526207  0.2325091
4.600023   -1.873403e-06 -8.325259e-07 1.088396e-06 1.494586e-06   1.526212  0.2325101
4.700008   -1.830053e-06 -6.280993e-07 1.042045e-06 1.035447e-06   1.526209  0.2325104
4.800006   -1.892536e-06 -5.34088e-07 1.057835e-06 1.18504e-06   1.526204  0.2325104
4.900038   -2.156454e-06 -4.345217e-07 1.165462e-06 1.905127e-06   1.526202  0.2325099
5.00013    -2.259344e-06 -3.28215e-07 1.201084e-06 2.103784e-06   1.526203  0.2325099
5.100011   -2.193432e-06 1.096097e-08 1.231662e-06 2.401798e-06     1.5262  0.2325098
5.200016   -2.177156e-06 1.52148e-07 1.310047e-06 2.398617e-06   1.526197  0.2325095
5.300148   -2.145586e-06 4.211577e-07 1.556791e-06 2.89931e-06   1.526191  0.2325096
5.40004    -2.052761e-06 2.879264e-07 1.569776e-06 2.079219e-06   1.526191  0.2325098
5.50018    -2.349452e-06 9.702605e-08 1.536626e-06 1.102632e-06   1.526192  0.2325094
